Retained Space by Class
=======================

Total Heap:    24.50 MB
Total Classes:     2892
Total Objects:   205719

# Objects    Retained        Size  Class
----------------------------------------
       97     3.79 KB     3.79 KB  java.security.Provider$ServiceKey
       19     3.77 KB     1.04 KB  java.util.TreeMap$Entry
       24     3.75 KB      576 B   javax.enterprise.util.Nonbinding$$ProxyImpl
       96     3.75 KB     3.75 KB  javax.xml.namespace.QName
       48     3.75 KB     3.75 KB  org.hibernate.validator.internal.util.ConcurrentReferenceHashMap$HashEntry[]
        7     3.70 KB      280 B   javax.validation.OverridesAttribute$$ProxyImpl
       52     3.67 KB     1.29 KB  io.undertow.protocols.http2.HpackEncoder$TableEntry[]
       35     3.55 KB     1.09 KB  java.util.Collections$SingletonList
       35     3.55 KB     1.09 KB  java.security.Provider$UString
        1     3.53 KB      152 B   com.oracle.svm.core.threadlocal.VMThreadLocalInfo[]
        6     3.47 KB      192 B   javax.ws.rs.ConstrainedTo$$ProxyImpl
       22     3.44 KB      528 B   javax.ws.rs.GET$$ProxyImpl
       17     3.38 KB      680 B   com.oracle.svm.core.threadlocal.VMThreadLocalInfo
        2     3.31 KB     3.31 KB  java.lang.Character$UnicodeScript[]
      104     3.25 KB     3.25 KB  java.lang.ref.WeakReference
       69     3.23 KB     1.62 KB  com.oracle.svm.core.heap.FeebleReferenceList
        1     3.18 KB       80 B   com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer
        1     3.08 KB       48 B   com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo
       54     3.06 KB     1.66 KB  javax.xml.namespace.QName[]
      196     3.06 KB     3.06 KB  com.sun.org.apache.xml.internal.serializer.CharInfo$CharKey
       23     3.03 KB      552 B   com.sun.proxy.$Proxy231
        7     3.02 KB     1.42 KB  java.text.DecimalFormat
        1     2.98 KB       32 B   org.hibernate.validator.constraints.Mod11Check$List$$ProxyImpl
        1     2.95 KB       32 B   sun.net.www.protocol.http.NTLMAuthenticationProxy
        8     2.88 KB      512 B   java.util.Collections$SynchronizedMap
        6     2.85 KB      240 B   sun.reflect.generics.repository.FieldRepository
        7     2.84 KB      616 B   io.undertow.servlet.api.ServletInfo
       32     2.83 KB     2.25 KB  com.sun.org.apache.xerces.internal.impl.dv.xs.DecimalDV$XDecimal
       58     2.78 KB     2.72 KB  org.postgresql.PGProperty
       71     2.77 KB     2.77 KB  org.xnio.SingleOption
       24     2.75 KB      576 B   org.jboss.resteasy.core.ContextParameterInjector$GenericDelegatingProxy
        1     2.73 KB       32 B   com.fasterxml.jackson.databind.util.ClassUtil$EnumTypeLocator
      115     2.70 KB     2.70 KB  com\oracle\svm\reflect\proxies\Proxy_java_lang_annotation_Target_value__
      115     2.70 KB     2.70 KB  com\oracle\svm\reflect\proxies\Proxy_java_lang_annotation_Retention_value__
        5     2.66 KB     2.66 KB  short[]
       10     2.66 KB      232 B   javax.ws.rs.core.MediaType[]
       17     2.66 KB      408 B   javax.inject.Inject$$ProxyImpl
       30     2.63 KB     1.41 KB  java.time.temporal.ChronoField
        8     2.62 KB      448 B   io.undertow.servlet.handlers.ServletChain
        5     2.59 KB      160 B   com.arjuna.common.internal.util.propertyservice.PropertyPrefix$$ProxyImpl
       15     2.58 KB      360 B   javax.validation.ReportAsSingleViolation$$ProxyImpl
        4     2.58 KB      128 B   javax.validation.constraintvalidation.SupportedValidationTarget$$ProxyImpl
        1     2.49 KB       24 B   ch.qos.logback.core.spi.AppenderAttachableImpl
       56     2.48 KB     1.31 KB  org.hibernate.validator.internal.util.logging.Log_$logger
       16     2.48 KB     2.25 KB  java.util.WeakHashMap$Entry[]
        1     2.42 KB      256 B   org.jboss.resteasy.spi.ResteasyDeployment
      103     2.41 KB     2.41 KB  java.lang.Character$UnicodeScript
        1     2.41 KB       24 B   com.oracle.svm.core.hub.AnnotationTypeSupport
       22     2.41 KB      528 B   org.jboss.resteasy.spi.metadata.ResourceBuilder
        1     2.41 KB      512 B   io.undertow.protocols.http2.Hpack$HeaderField[]
       61     2.38 KB     2.38 KB  io.undertow.protocols.http2.HpackEncoder$TableEntry
        1     2.38 KB      312 B   java.math.BigInteger[][]
        6     2.36 KB      336 B   io.undertow.servlet.handlers.ServletPathMatch
        1     2.34 KB       88 B   ch.qos.logback.core.ConsoleAppender
        2     2.34 KB      288 B   org.hsqldb.lib.OrderedIntHashSet
        1     2.31 KB       24 B   org.hibernate.validator.internal.engine.valueextraction.ValueExtractorManager
        1     2.30 KB     1.02 KB  java.lang.Character[]
        1     2.27 KB      272 B   org.hsqldb.types.CharacterType[]
        1     2.26 KB       24 B   java.util.LinkedHashSet
       41     2.26 KB     1.70 KB  com.sun.org.apache.xerces.internal.impl.xs.traversers.OneAttr[]
        5     2.25 KB      160 B   javax.ws.rs.PathParam$$ProxyImpl
        6     2.23 KB      288 B   java.util.Vector
        4     2.21 KB      192 B   sun.reflect.generics.repository.ConstructorRepository
       24     2.19 KB     1.31 KB  org.jboss.resteasy.core.ContextParameterInjector
        1     2.15 KB       64 B   ch.qos.logback.core.BasicStatusManager
       34     2.13 KB     2.13 KB  org.hsqldb.types.CharacterType
       73     2.09 KB     1.71 KB  sun.reflect.generics.tree.TypeVariableSignature
        2     2.08 KB      160 B   org.hibernate.validator.constraints.Mod11Check$$ProxyImpl
      132     2.06 KB     2.06 KB  java.lang.Character
        3     2.05 KB      144 B   sun.reflect.annotation.AnnotationType
        1     2.05 KB       24 B   io.smallrye.config.SmallRyeConfigProviderResolver
        1     2.04 KB       64 B   ch.qos.logback.core.encoder.LayoutWrappingEncoder
        2     2.02 KB      336 B   io.undertow.servlet.api.DeploymentInfo
        1     2.02 KB     2.02 KB  sun.text.normalizer.UnicodeSet[]
        1     2.02 KB     2.02 KB  java.lang.Character$UnicodeBlock[]
       40     1.98 KB      672 B   org.jboss.resteasy.spi.metadata.MethodParameter[]
       84     1.97 KB     1.97 KB  org.jboss.logging.Slf4jLocationAwareLogger
        1     1.95 KB       56 B   ch.qos.logback.classic.layout.TTLLLayout
        1     1.91 KB       88 B   org.apache.commons.logging.impl.WeakHashtable
        4     1.91 KB      128 B   com.sun.org.apache.xerces.internal.impl.xpath.regex.Token$UnionToken
       61     1.91 KB     1.91 KB  io.undertow.protocols.http2.Hpack$HeaderField
       40     1.88 KB     1.88 KB  javax.ws.rs.core.Response$Status
        7     1.86 KB      224 B   org.jboss.shamrock.jaxrs.runtime.graal.ShamrockConstructorInjector
        3     1.86 KB      288 B   com.sun.org.apache.xerces.internal.impl.xs.XSElementDecl
        1     1.82 KB       48 B   ch.qos.logback.core.util.CachingDateFormatter
       46     1.80 KB     1.80 KB  org.postgresql.util.PSQLState
        1     1.78 KB       48 B   io.smallrye.config.inject.ConfigProducer_ProducerMethod18_Bean
        1     1.78 KB       48 B   io.smallrye.config.inject.ConfigProducer_ProducerMethod11_Bean
        1     1.77 KB       32 B   io.smallrye.config.SmallRyeConfig
       11     1.72 KB      264 B   javax.enterprise.context.ApplicationScoped$$ProxyImpl
       20     1.72 KB      960 B   java.util.LinkedList
       73     1.71 KB     1.71 KB  com.oracle.svm.core.jdk.UninterruptibleUtils$AtomicReference
        1     1.70 KB       24 B   com.oracle.svm.core.hub.DynamicHubSupport
       36     1.69 KB     1.69 KB  java.math.BigDecimal
        1     1.69 KB      336 B   javax.ws.rs.core.Response$Status[]
      106     1.66 KB     1.66 KB  sun.reflect.annotation.TypeAnnotation$LocationInfo$Location
        1     1.66 KB       32 B   com.oracle.svm.core.posix.darwin.DarwinSystemPropertiesSupport
       15     1.63 KB      600 B   org.jboss.protean.arc.ParameterizedTypeImpl
       20     1.60 KB      800 B   org.jboss.resteasy.core.MethodInjectorImpl
        7     1.57 KB      560 B   io.undertow.servlet.core.ManagedServlet$DefaultInstanceStrategy
        1     1.56 KB      296 B   com.oracle.svm.core.genscavenge.GCImpl
        1     1.55 KB       72 B   org.apache.commons.logging.impl.LogFactoryImpl
        2     1.52 KB      208 B   com.sun.org.apache.xerces.internal.impl.xpath.regex.RegularExpression
       48     1.50 KB     1.50 KB  com.sun.org.apache.xerces.internal.impl.xs.traversers.OneAttr
        4     1.50 KB      128 B   javax.xml.bind.annotation.XmlAccessorType$$ProxyImpl
       26     1.49 KB     1.02 KB  org.hibernate.validator.internal.engine.valueextraction.ValueExtractorDescriptor
